Unnamed: 0.1,Unnamed: 0,title,Label
20000,20000,Ex-Red Sox pitcher mulls run against Senator Warren in Massachusetts,1
20001,20001,"Congressional Republicans want to talk Tehran, not Trump",1
20002,20002,Trump sharpens 'rigged' election allegations disputed by Republican lawyers,1
20003,20003,Melania Trump calls taped comments by Donald Trump 'boy talk',1
20004,20004,"Rejecting Trump, Wall Street Republican donors scatter largesse",1
20005,20005,"How Trump, Clinton would fix the 'crazy' U.S. health system",1
20006,20006,Vietnam gives thumbs-up to U.S. regional role as pivot stumbles,1
20007,20007,Voting for Trump? Pennsylvania Republican senator will not say,1
20008,20008,State Department official 'pressured' FBI to declassify Clinton email: FBI documents,1
20009,20009,"North Carolina police probe arson, graffiti threat at Republican office",1
20010,20010,New Jersey 'Bridgegate' defendant says he was duped,1
20011,20011,Trump to propose five-year lobbying ban on ex-executive branch officials,1
20012,20012,Trump's son-in-law held talks to set up Trump TV network: source,1
20013,20013,Trump foundation stops fundraising in New York state,1
20014,20014,Trump hovers over tight U.S. House race in Florida,1
20015,20015,Lockheed Martin wins $743 million U.S. defense contract: Pentagon,1
20016,20016,Trump charges U.S. election results being rigged 'at many polling places',1
20017,20017,Trump: Sexual-assault accusers 'want to stop our movement',1
20018,20018,Republican office in North Carolina hit with flammable material: authorities,1
20019,20019,Tech investor Thiel to donate $1.25 million to Trump campaign,1
20020,20020,U.S. officials step up rhetoric on Russia link to email hacks,1
20021,20021,Putin dismisses U.S. hacking allegations as campaign rhetoric,1
20022,20022,Transcripts of Clinton's Wall Street talks released in new Wikileaks dump,1
20023,20023,"After turbulent week, Trump revisits talk of 'rigged election'",1
20024,20024,Putin says Russia does not seek confrontation with U.S.,1
20025,20025,Trump pledges strong U.S. ties with India if elected president,1
20026,20026,LPGA happy to let USGA make Trump course decision,1
20027,20027,Clinton heavily favored to win Electoral College: poll,1
20028,20028,"How Trump rallies the faithful: Belittle Clinton, news media",1
20029,20029,"Obama meets with national security team on Syria, Islamic State",1
20030,20030,North Carolina Democrats win extension of voter registration deadline,1
20031,20031,"Obama eases restrictions on Cuba, lifts limits on rum and cigars",1
20032,20032,Hacked emails raise possibility of Clinton Foundation ethics breach,1
20033,20033,Clinton leads by 7 points as Trump faces grope claims: Reuters/Ipsos poll,1
20034,20034,Florida Supreme Court strikes down new death penalty law,1
20035,20035,Clinton warned U.S. would 'ring China with missile defense': hacked email,1
20036,20036,"Trump hasn't sued a newspaper for libel in decades, records show",1
20037,20037,Trump accuses Mexico's Carlos Slim of trying to help Clinton,1
20038,20038,Factbox: Mexican tycoon Carlos Slim and the U.S. election,1
20039,20039,New Hampshire Senate race is tight despite Trump focus,1
20040,20040,U.S. policy changes on Cuba will be tough to undo: official,1
20041,20041,Dozens of U.S. lawmakers request briefing on Yahoo email scanning,1
20042,20042,Djokovic hoping Kyrgios can stop squandering his gifts,1
20043,20043,"Exclusive: Obama, aides expected to weigh Syria military options on Friday",1
20044,20044,Obama plans overhaul of child support payment rules for prisoners,1
20045,20045,Thai king's death adds to uncertainty about Obama's faltering Asia pivot,1
20046,20046,Canadian court rules Trump can face claims in Toronto tower case,1
20047,20047,U.S. conservative group backs Republicans who favor clean energy,1
20048,20048,The Trump tightrope: Republicans weigh response with eye toward future,1
20049,20049,"Factbox: Foreign leaders' criticism, praise of U.S. Republican candidate Trump",1
20050,20050,Trump's missing donors: the people who work for him,1
20051,20051,"Trump denies women's claims, says will provide evidence",1
20052,20052,"New York Times stands by Trump story, rebuts claim of libel",1
20053,20053,Sanders among five senators asking Obama to order Dakota pipeline review,1
20054,20054,New Jersey citizen's 'Bridgegate' complaint against Christie can proceed: judge,1
20055,20055,Moscow accuses Washington of destroying U.S.-Russia relations,1
20056,20056,Trump adviser accuses U.S. of disregarding Russia's interests,1
20057,20057,"Trump touched us inappropriately, two women tell New York Times",1
20058,20058,Trump tied with Clinton in Utah after lewd remarks in video: poll,1
20059,20059,Putin rejects accusations of meddling in U.S. election,1
20060,20060,"Trump trails Clinton by 8 points after tape scandal, debate: Reuters/Ipsos poll",1
20061,20061,Clinton aides sought to minimize fallout with White House on Keystone: emails,1
20062,20062,Judge gives Florida voters more time to register after hurricane,1
20063,20063,Obama says Trump's comments on women disqualifying,1
20064,20064,Trump intensifies attacks on Ryan with four weeks left until Election Day,1
20065,20065,Putin says U.S. hacking scandal not in Russia's interests,1
20066,20066,"U.S. lawmaker urges Saudi arms sales halt, cites possible Yemen 'war crimes'",1
20067,20067,Russia's Putin says hard to hold dialogue with U.S. administration,1
20068,20068,Putin says parliamentary elections showed Russians trust government,1
20069,20069,Trump as president would pose global danger: U.N. rights chief,1
20070,20070,"Trump assails House speaker Ryan, McCain as 'disloyal'",1
20071,20071,Clinton campaign chief Podesta: FBI probing hack of his emails,1
20072,20072,Former VP Gore reminds Clinton supporters of 2000 vote recount,1
20073,20073,Obama tells students at town hall about how failures have shaped him,1
20074,20074,Clinton opposition to Asia trade pact 'close call': hacked emails,1
20075,20075,Surge in U.S. Latino vote could be elusive in presidential election: survey,1
20076,20076,Adviser rules out Trump meeting North Korea's Kim in near future,1
20077,20077,Trump says he doesn't want House Speaker Ryan's support: Fox News,1
20078,20078,"Chicago mayor seeks rebound with new budget, labor peace",1
20079,20079,Facebook's Sandberg says has no plan to work in government,1
20080,20080,Trump tax plan would aid Wall St. despite closing loophole,1
20081,20081,U.S. justices to weigh detainee suit against Bush officials,1
20082,20082,Obama to consider 'proportional' response to Russia hacking,1
20083,20083,Obama says work has begun on habitats to help humans reach Mars,1
20084,20084,U.S. Supreme Court turns away companies in California tax dispute,1
20085,20085,Father of U.S. war hero attacks Trump's comment at debate,1
20086,20086,"U.S. must stop judicial 'extortion' of corporate Europe, French lawmakers say",1
20087,20087,A new worry for Clinton: Trump's struggles may depress Democratic voter turnout,1
20088,20088,"TV audience sharply down for second Trump-Clinton debate, despite tape furor",1
20089,20089,Top Republican Ryan distances himself from Trump White House bid,1
20090,20090,Locker room talk? Key women voters call foul on Trump's defense,1
20091,20091,"Clinton weighed reinstating Glass-Steagall, Wikileaks emails show",1
20092,20092,U.S. House Speaker Ryan to focus on protecting Republican congressional majorities: spokeswoman,1
20093,20093,Trump in crisis after lewd remarks about women come to light,1
20094,20094,Trump apologizes for lewd comments but calls footage a 'distraction',1
20095,20095,Trump to Ryan: Do not waste time fighting Republican nominee,1
20096,20096,Buffett hits back at Trump over tax comments,1
20097,20097,"As of last week, Clinton's White House chances 95 percent: Reuters/Ipsos States of the Nation",1
20098,20098,"Trump may have stopped the bleeding, but not the worrying",1
20099,20099,Trump says he disagrees with his running mate on Syria,1
20100,20100,Billy Bush suspended from 'Today' show after tape of Trump's lewd comments: memo,1
20101,20101,Financial markets continue to price in Clinton win after debate,1
20102,20102,"Asia investors, traders bet on Clinton win after bruising election debate",1
20103,20103,"Hurricane Matthew toll in Haiti rises to 1,000, dead buried in mass graves",1
20104,20104,Trump's body language during debate raises social media eyebrows,1
20105,20105,"Trump, Clinton spend much of debate insulting each other",1
20106,20106,U.S. Republicans in crisis over Trump's vulgar video,1
20107,20107,Pressure on Trump likely to be intense at second debate with Clinton,1
20108,20108,Mexican peso surges ahead of U.S. presidential debate,1
20109,20109,Effort to replace Trump on ballot would face tremendous obstacles,1
20110,20110,Trump vows to stay in race after lewd remarks surface,1
20111,20111,Sanders supporters seethe over Clinton's leaked remarks to Wall St.,1
20112,20112,Clinton leads Trump by 5 points in presidential race: Reuters/Ipsos poll,1
20113,20113,"Evangelical leaders stick with Trump, focus on defeating Clinton",1
20114,20114,U.S. formally accuses Russian hackers of political cyber attacks,1
20115,20115,Transcript of Trump video statement in response to lewd remarks about women,1
20116,20116,Trump says Pence to represent him at Wisconsin event on Saturday,1
20117,20117,"Clinton campaign struggled to balance unions, environmentalists - emails/WikiLeaks",1
20118,20118,Congresswoman raises concerns about VW settlement oversight,1
20119,20119,U.S. pressed to disclose secret court's order on Yahoo email search,1
20120,20120,Obama announces lifting of U.S. sanctions on Myanmar,1
20121,20121,Trump apologizes for lewd talk caught on live microphone in 2005,1
20122,20122,U.S. lawmaker wants cyber sanctions on Russia after hacking charges,1
20123,20123,Obama casts early vote for 2016 election during Chicago trip,1
20124,20124,Kremlin: U.S. accusations of Russian cyber attacks are 'nonsense' - Ifax,1
20125,20125,Two hawkish anti-immigration groups say consulted by Trump,1
20126,20126,Trump's Indian-American fan spreads the word back home,1
20127,20127,Republican Trump says 70 percent of federal regulations 'can go',1
20128,20128,NRA gun rights group pours money into Republican U.S. Senate campaigns,1
