Unnamed: 0.1,Unnamed: 0,title,Label
25000,25000,Italy's former PM Renzi loses more allies as election nears,1
25001,25001,"Time to move on from Algeria's colonial past, says France's Macron",1
25002,25002,Lebanese president says Trump decision threatens stability,1
25003,25003,"Morocco expresses deep concern over Jerusalem decision, summons U.S. charge d'affaires",1
25004,25004,EU seriously concerned about Trump's Jerusalem decision,1
25005,25005,Syrian president says Jerusalem to be Palestinian capital,1
25006,25006,Britain has not formally assessed impact of Brexit on economy - Brexit minister,1
25007,25007,"Saudi king, Turkish president discuss regional developments after U.S. embassy move decision: agency",1
25008,25008,British PM May faces pressure to soften Brexit divorce after EU exit deal crumbles,1
25009,25009,Iran condemns U.S. decision to move embassy to Jerusalem,1
25010,25010,Mexico says will keep its embassy in Israel in Tel Aviv,1
25011,25011,"Abbas says Jerusalem is eternal Palestinian capital, dismisses U.S. peace role",1
25012,25012,Egypt's Sisi discusses repercussions of U.S. embassy decision with Palestinian President Abbas: presidency statement,1
25013,25013,"Tunisian labor union says Jerusalem decision a 'declaration of war', calls for protests",1
25014,25014,Qatar calls Trump's Jerusalem move 'death sentence for peace',1
25015,25015,Tillerson to visit Africa in first quarter of 2018: adviser,1
25016,25016,Text: Trump recognizes Jerusalem as Israel's capital,1
25017,25017,Belgian police commissioner nominated to lead Europol,1
25018,25018,Hamas urges action against U.S. interests over Trump's 'flagrant aggression',1
25019,25019,Egypt rejects U.S. decision to move its embassy to Jerusalem: Foreign Ministry,1
25020,25020,Turkey condemns U.S. move on Jerusalem as 'irresponsible',1
25021,25021,U.N. chief says no alternative to two state solution in Middle East,1
25022,25022,Senior Palestinian figure Dahlan urges exit from peace talks over Trump's Jerusalem move,1
25023,25023,France's Macron regrets Trump's 'unilateral' Jerusalem decision,1
25024,25024,Frustration and fury among Arabs at Trump's Jerusalem declaration,1
25025,25025,Former Catalan leader says to stay in Belgium for time being,1
25026,25026,Why is there uproar over Trump's Jerusalem declaration?,1
25027,25027,Ireland open to adding to border text but clock ticking,1
25028,25028,U.S. energy chief says to start negotiations on nuclear pact with Riyadh,1
25029,25029,"Ivory Coast to retire 1,000 soldiers to slim down military",1
25030,25030,Kazakh leader tells cabinet: Make state firms move cash home or you're fired,1
25031,25031,EU exec proposes deeper euro zone integration to unite EU,1
25032,25032,Supporters free ex-Georgian leader Saakashvili from Ukrainian police amid chaotic scenes,1
25033,25033,"Netanyahu says Israel expanding Middle East ties, but not with Iran",1
25034,25034,"GSK, other drugmakers bet on post-Brexit UK science",1
25035,25035,Exclusive: Saudi-led blockade cuts fuel lifeline to Yemen,1
25036,25036,"U.S. asks officials to defer travel to Israel, West Bank to December 20",1
25037,25037,Cameroon escalates military crackdown on Anglophone separatists,1
25038,25038,"U.S., France urge Russia to 'deliver' Assad delegation to Syria peace talks",1
25039,25039,"Putin declares ""complete victory"" on both banks of Euphrates in Syria",1
25040,25040,Trump says his decision on Jerusalem is long overdue,1
25041,25041,UK government still undecided on final Brexit aims: Hammond,1
25042,25042,Turkish academic on lengthy hunger strike appeals jail term,1
25043,25043,Turkey links U.S. judge in sanctions case to wanted cleric,1
25044,25044,"Saudi air strikes on Yemen intensify, residents in capital stay indoors",1
25045,25045,'Glimmer of hope' as food and fuel arrives in Yemen ports: NRC,1
25046,25046,Ukraine police fail to find Saakashvili in protest camp raid,1
25047,25047,Investors see shades of Quebec in Catalonia vote,1
25048,25048,Libya launches voter registration with election date unclear,1
25049,25049,South Africa's ANC wants to avoid split after vote: senior official,1
25050,25050,Palestinian leader to respond to Trump's Jerusalem announcement in TV speech,1
25051,25051,Palestinians seethe at Trump's 'insane' Jerusalem move,1
25052,25052,Nigeria replaces commander in fight against Boko Haram after six months,1
25053,25053,"Air strike reported near Somalia's capital, official says Shabaab targeted",1
25054,25054,"Tillerson takes tough line on Russia, open to peacekeepers",1
25055,25055,Factbox: Many years of rhetoric reflect conflict over Jerusalem,1
25056,25056,Russia's Putin says to decide soon if he will run for re-election,1
25057,25057,Mexico's ruling party presidential hopeful trails leftist: poll,1
